Periodo;Juicios iniciados por personas trabajadoras en unidades productivas, notificados en el mes de referencia (1);Juicios iniciados por personas trabajadoras en casas particulares, notificados en el mes de referencia (2);Total de juicios notificados en el mes de referencia (3);Sentencias dictadas en el mes de referencia (4);Stock acumulado de juicios sin resolver (5);;Unidades Productivas ;Sin personas trabajadoras declaradas;1;2;3-may;6-oct;nov-25;26-40;41-50 ;51-100;101-500;501-1500 ;1501-2500;2501-5000 ;Mas de 5000;Sin datos;Total unidades productivas;Total casas particulares;Total sistema;;Unidades Productivas ;C.A.B.A.;Buenos Aires;Catamarca;Córdoba;Corrientes;Entre Ríos;Jujuy;Mendoza;La Rioja;Salta;San Juan;San Luis;Santa Fe;Sgo. del Estero;Tucumán;Chaco;Chubut;Formosa;Misiones;Neuquén;La Pampa;Río Negro;Santa Cruz;Tierra del Fuego;Sin datos;Total unidades productivas;Total casas particulares;Total sistema;;Unidades Productivas ;Berkley ART;Prevención;Provincia;La Segunda;Interacción;Fed. Patronal;Prod. de Frutas;La Holando;Experta ART.;Victoria;La Meridional;MAPFRE;Galeno;Swiss Medical;Inst. Autarq. E.R.;Asociart;Horizonte;Caja Popular;Latitud Sur;Reconquista;Liderar ART;Caminos Protegidos;Omint;Mutual Petroleros;Mutual Rural;Andina ART;Exxonmobil;Shell;Coop. Port. San Martin;Sgo. del Estero;Municip. Rosario;Autoaseg. Pcia. de Buenos Aires;Total unidades productivas**;Total casas particulares;Total sistema;;Unidades productivas ;Agricultura, ganaderia, caza, silvicultura y pesca;Explotacion de minas y canteras;Industria manufacturera;Suministro de electricidad, gas, vapor y aire acondicionado;Suministro de agua, cloacas, gestion de residuos y recuperacion de materiales y saneamiento publico;Construccion;"Comercio al por mayor y al por menor; reparacion de vehiculos automotores y motocicletas";Servicio de transporte y almacenamiento;Servicios de alojamiento y servicios de comida;Informacion y comunicaciones;Intermediacion financiera y servicios de seguros;Servicios inmobiliarios;Servicios profesionales, cientificos y tecnicos;Actividades administrativas y servicios de apoyo;Administracion publica, defensa y seguridad social obligatoria;Enseñanza;Salud humana y servicios sociales;Servicios artisticos, culturales, deportivos y de esparcimiento;Servicios de asociaciones y servicios personales;Servicios de organizaciones y organos extraterritoriales;Sin datos;Total unidades productivas ;Total casas particulares ;Total sistema
sep-11;6080;0;6080;1711;82968;sep-11;;0;90;82;207;249;538;303;141;508;1373;789;308;407;635;450;6080;0;6080;sep-11;;1868;1039;0;841;19;62;8;576;4;4;33;49;1278;12;51;12;38;5;39;69;8;56;3;5;1;6080;0;6080;sep-11;;115;1473;372;499;157;193;4;34;876;6;0;0;1162;521;15;431;108;2;0;15;63;0;0;0;0;0;0;0;0;0;0;34;6080;0;6080;sep-11;;217;26;1765;40;;720;779;699;;;470;;;;1310;;;;;;39;6080;0;6080
oct-11;6157;0;6157;1587;87538;oct-11;;0;78;85;224;236;463;311;127;574;1404;899;304;411;560;481;6157;0;6157;oct-11;;1672;1278;3;797;14;44;11;573;4;9;19;57;1411;13;35;17;35;1;31;67;7;54;1;2;2;6157;0;6157;oct-11;;104;1371;410;562;186;166;3;50;865;3;0;0;1263;451;15;441;126;4;2;4;84;1;0;0;0;0;0;0;0;0;0;46;6157;0;6157;oct-11;;170;18;1966;49;;725;693;689;;;456;;;;1335;;;;;;42;6157;0;6157
nov-11;6104;0;6104;1732;91910;nov-11;;0;72;85;173;231;487;287;128;552;1381;846;319;363;625;555;6104;0;6104;nov-11;;1603;1259;0;889;15;51;21;649;2;9;15;61;1244;24;44;13;28;0;34;79;12;46;5;1;0;6104;0;6104;nov-11;;82;1503;359;554;156;151;4;49;836;9;0;0;1203;537;9;397;121;5;4;8;82;1;0;0;0;0;0;0;0;0;0;34;6104;0;6104;nov-11;;167;25;1849;42;;786;724;637;;;413;;;;1396;;;;;;49;6104;0;6104
dic-11;4600;0;4600;1928;94582;dic-11;;0;58;61;146;216;354;243;103;412;1015;612;241;326;477;336;4600;0;4600;dic-11;;1356;827;3;717;15;42;12;456;4;11;17;43;907;13;17;9;13;3;38;49;2;43;1;2;0;4600;0;4600;dic-11;;58;1036;283;404;158;126;5;30;621;6;0;0;958;395;9;345;86;2;2;14;61;0;0;0;0;0;0;0;0;0;0;1;4600;0;4600;dic-11;;123;15;1413;22;;513;589;559;;;323;;;;1004;;;;;;33;4600;0;4600
ene-12;121;0;121;1386;93317;ene-12;;0;0;4;3;6;11;8;6;13;22;15;7;9;9;8;121;0;121;ene-12;;12;9;0;36;1;2;1;20;0;2;2;7;22;4;0;1;0;0;0;0;0;2;0;0;0;121;0;121;ene-12;;4;9;2;48;2;1;0;1;11;1;0;0;13;20;0;3;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;121;0;121;ene-12;;4;0;40;0;;11;22;15;;;5;;;;23;;;;;;0;121;0;121
feb-12;5671;0;5671;817;98171;feb-12;;0;74;67;183;228;484;294;133;465;1265;753;430;395;525;375;5671;0;5671;feb-12;;2130;770;2;955;6;46;7;434;3;7;12;38;1032;16;31;6;16;3;21;82;4;47;2;1;0;5671;0;5671;feb-12;;78;1219;322;460;164;173;6;52;830;2;0;0;1225;465;11;442;113;1;0;12;92;1;0;0;0;0;0;0;0;0;0;3;5671;0;5671;feb-12;;148;20;1779;31;;573;737;609;;;480;;;;1245;;;;;;29;5671;0;5671
mar-12;7401;0;7401;1817;103755;mar-12;;0;96;111;246;304;585;421;203;615;1626;970;384;500;802;538;7401;0;7401;mar-12;;2596;1205;0;951;16;72;13;765;0;12;24;41;1402;13;43;11;42;5;28;88;10;60;2;2;0;7401;0;7401;mar-12;;122;1477;449;615;188;220;5;60;1037;9;0;0;1619;813;6;460;115;2;0;14;146;1;0;0;0;0;0;0;0;0;0;43;7401;0;7401;mar-12;;241;17;2309;37;;853;930;812;;;551;;;;1582;;;;;;38;7401;0;7401
abr-12;4765;0;4765;1745;106775;abr-12;;0;69;66;163;212;458;252;131;412;1081;587;299;277;456;302;4765;0;4765;abr-12;;1744;514;2;592;17;44;8;622;2;13;15;46;934;22;24;22;36;2;25;27;1;49;1;3;0;4765;0;4765;abr-12;;106;943;286;439;148;119;4;41;607;1;0;0;904;525;12;364;92;0;1;8;146;0;0;0;0;0;0;0;0;0;0;19;4765;0;4765;abr-12;;151;19;1397;28;;502;673;537;;;396;;;;1017;;;;;;29;4765;0;4765
may-12;6293;0;6293;2290;110778;may-12;;0;79;93;216;273;595;351;185;565;1349;807;321;398;636;425;6293;0;6293;may-12;;2215;891;4;833;17;65;14;627;0;3;21;31;1295;11;43;15;30;3;37;68;9;59;2;0;0;6293;0;6293;may-12;;82;1121;434;547;199;202;3;50;947;6;0;0;1180;669;21;489;132;2;5;10;192;0;0;0;0;0;0;0;0;0;0;2;6293;0;6293;may-12;;178;27;1934;29;;681;819;751;;;483;;;;1327;;;;;;38;6293;0;6293
jun-12;5560;0;5560;4578;111760;jun-12;;0;62;75;210;251;534;301;136;462;1240;865;302;300;422;400;5560;0;5560;jun-12;;2216;1020;1;746;38;52;10;158;2;10;22;47;961;18;29;14;33;2;38;68;7;66;0;1;1;5560;0;5560;jun-12;;119;902;345;421;147;228;9;60;892;6;0;0;1005;569;19;457;139;0;2;11;205;5;0;0;0;0;0;0;0;0;0;19;5560;0;5560;jun-12;;162;17;1773;45;;636;778;608;;;455;;;;1029;;;;;;33;5560;0;5560
